State,EPA Region,County,FIPS,Tract,Population,"1,3-Butadiene",Acetaldehyde,Aniline,Benzene,Ethylene Oxide,Formaldehyde,Naphthalene
NY,EPA Region 2,Bronx,36005,36005006800,2897,3.494812426,2.683189101,0,7.765469748,0.494020593,20.90424409,2.970663439
NY,EPA Region 2,Bronx,36005,36005006900,7564,3.703264259,2.786907398,0,7.86192779,0.31559232,21.8371764,3.062006102
NY,EPA Region 2,Bronx,36005,36005007000,4584,3.333346744,2.64248508,0,7.380999626,0.497376966,20.6079539,2.851380492
NY,EPA Region 2,Bronx,36005,36005007100,1907,3.621807706,2.753365901,0,7.704773931,0.318748028,21.45432669,2.944778364
NY,EPA Region 2,Bronx,36005,36005007200,5432,3.305374981,2.636021727,0,7.333757712,0.484193225,20.51812897,2.800673892
NY,EPA Region 2,Bronx,36005,36005007300,3893,3.641502632,2.736068563,0,7.60710114,0.32071362,21.41737197,2.869099678
NY,EPA Region 2,Bronx,36005,36005007400,3710,3.319797257,2.642364391,0,7.23704817,0.459181701,20.50889265,2.726026632
NY,EPA Region 2,Bronx,36005,36005007500,4869,3.559865346,2.732314002,0,7.568817553,0.31564832,21.33847238,2.852953143
NY,EPA Region 2,Bronx,36005,36005007600,5190,3.586118235,2.676076629,0,7.710737467,0.48624073,20.83390605,2.93572935
NY,EPA Region 2,Bronx,36005,36005007700,1927,3.447124334,2.703175193,0,7.343236274,0.303599306,20.98965336,2.758768979
NY,EPA Region 2,Bronx,36005,36005007800,6418,3.375190881,2.644404483,0,7.461996875,0.495264145,20.5566074,2.843554398
NY,EPA Region 2,Bronx,36005,36005007900,6733,3.525526279,2.708510337,0,7.387698993,0.31305171,21.17328413,2.785777978
NY,EPA Region 2,Bronx,36005,36005008300,6155,3.513394565,2.709232714,0,7.383748603,0.312667738,21.17782786,2.75683026
NY,EPA Region 2,Bronx,36005,36005008400,2374,3.484242587,2.683910098,0,7.159824242,0.315582117,20.57531039,2.727774133
NY,EPA Region 2,Bronx,36005,36005008500,5457,3.576695645,2.71902905,0,7.474940489,0.310128799,21.24182045,2.787862035
NY,EPA Region 2,Bronx,36005,36005008600,4176,3.31010314,2.639182975,0,7.164942823,0.440885452,20.46473294,2.722782938
NY,EPA Region 2,Bronx,36005,36005008700,5466,3.657963684,2.731301258,0,7.637503868,0.310838109,21.29439329,2.85161407
NY,EPA Region 2,Bronx,36005,36005008900,3177,3.87957956,2.764697388,0,7.908797584,0.307745023,21.53778986,2.928678744
NY,EPA Region 2,Bronx,36005,36005009000,3667,3.230659293,2.612094097,0,7.164261338,0.540210124,20.36371791,2.681306525
NY,EPA Region 2,Bronx,36005,36005009200,5017,3.543443412,2.661562865,0,7.663700246,0.496436161,20.67214087,2.890457057
NY,EPA Region 2,Bronx,36005,36005009300,6356,3.564833684,2.71088682,0,7.364681109,0.317002689,21.26970162,2.776915786
NY,EPA Region 2,Bronx,36005,36005009600,2594,3.170100321,2.606184553,0,7.086799017,0.505472352,20.17714423,2.723796901
NY,EPA Region 2,Bronx,36005,36005009800,5038,3.291414074,2.634737596,0,7.312872812,0.504336974,20.47452713,2.801940419
NY,EPA Region 2,Bronx,36005,36005011000,151,3.111912037,2.598444619,0,7.125492298,0.523498288,20.02566519,2.659494433
NY,EPA Region 2,Bronx,36005,36005011502,4340,3.327466528,2.664448368,0,7.00800729,0.307091135,20.87503913,2.647113374
NY,EPA Region 2,Bronx,36005,36005011700,1585,3.667207318,2.727341487,0,7.540297266,0.314857468,21.37840203,2.824998501
NY,EPA Region 2,Bronx,36005,36005011800,5089,2.681320971,2.279719993,0,6.806369456,0.707545205,17.55608329,2.283759271
NY,EPA Region 2,Bronx,36005,36005011900,5698,3.78010022,2.749600957,0,7.709216775,0.29335652,21.24448961,2.910086685
NY,EPA Region 2,Bronx,36005,36005012101,3090,3.285477314,2.641508586,0,7.40435705,0.530481344,20.74253071,2.789559955
NY,EPA Region 2,Bronx,36005,36005012102,1631,3.407907748,2.666653872,0,7.51507405,0.500301026,20.86076728,2.821525217
NY,EPA Region 2,Bronx,36005,36005012300,4152,3.611524715,2.691586433,0,7.808104115,0.50535261,21.00679017,2.986826637
NY,EPA Region 2,Bronx,36005,36005012500,3905,3.286963611,2.649811445,0,7.481392356,0.520838488,20.804014,2.82404022
NY,EPA Region 2,Bronx,36005,36005012701,2253,3.441027103,2.691556327,0,7.530232034,0.422657971,20.99959819,2.856508039
NY,EPA Region 2,Bronx,36005,36005012901,4015,3.61318141,2.730128171,0,7.565872594,0.30645808,21.2503039,2.860879618
NY,EPA Region 2,Bronx,36005,36005013000,1032,2.960236507,2.425384024,0,7.220293569,0.58416457,18.65516696,2.513474494
NY,EPA Region 2,Bronx,36005,36005013100,5103,3.534658243,2.721943806,0,7.396294172,0.281536284,20.99218725,2.846824912
NY,EPA Region 2,Bronx,36005,36005013200,5890,3.030620486,2.570547103,0,6.769956878,0.525991353,19.78125859,2.558830393
NY,EPA Region 2,Bronx,36005,36005013300,6384,3.66310312,2.739894531,0,7.628522036,0.308755852,21.30841893,2.884417434
NY,EPA Region 2,Bronx,36005,36005013500,3583,3.439111179,2.694109248,0,7.372055517,0.369187486,20.96478555,2.838189607
NY,EPA Region 2,Bronx,36005,36005013800,3042,2.564458642,2.264023443,0,6.652766708,0.613525751,17.44216919,2.228524791
NY,EPA Region 2,Bronx,36005,36005014100,3437,3.568522821,2.748178448,0,7.607893789,0.30549266,21.47733074,2.947393403
